Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.96524094360838 40.75512992895977,-73.96478633145838 40.75575573124203",1 AVENUE,EAST   52 STREET,EAST   53 STREET,260.48
"-73.96478633145838 40.75575573124203,-73.96432543559354 40.75638153063062",1 AVENUE,EAST   53 STREET,EAST   54 STREET,261.32
"-73.96478633145838 40.75575573124203,-73.96432543559354 40.75638153063062",1 AVENUE,EAST   53 STREET,EAST   54 STREET,261.32
"-73.96432543559354 40.75638153063062,-73.96387087694812 40.75700807752788",1 AVENUE,EAST   54 STREET,EAST   55 STREET,260.71
"-73.96432543559354 40.75638153063062,-73.96387087694812 40.75700807752788",1 AVENUE,EAST   54 STREET,EAST   55 STREET,260.71
"-73.96387087694812 40.75700807752788,-73.96341112129903 40.75763731343658",1 AVENUE,EAST   55 STREET,EAST   56 STREET,262.26
"-73.96387087694812 40.75700807752788,-73.96341112129903 40.75763731343658",1 AVENUE,EAST   55 STREET,EAST   56 STREET,262.26
"-73.96341112129903 40.75763731343658,-73.96292448634901 40.75830898861187",1 AVENUE,EAST   56 STREET,EAST   57 STREET,279.39
"-73.96341112129903 40.75763731343658,-73.96292448634901 40.75830898861187",1 AVENUE,EAST   56 STREET,EAST   57 STREET,279.39
"-73.99081902422084 40.72427429772359,-73.99034165842448 40.724932133745774",2 AVENUE,EAST    1 STREET,EAST    2 STREET,273.77
"-73.99081902422084 40.72427429772359,-73.99099489093685 40.72400907472583,-73.99102457806407 40.72373532313096,-73.9910241043406 40.72364943251929",2 AVENUE,EAST    1 STREET,EAST HOUSTON STREET,239.60
"-73.98986956356244 40.72558217068682,-73.98942914193304 40.72618746315748",2 AVENUE,EAST    3 STREET,EAST    4 STREET,252.06
"-73.98986956356244 40.72558217068682,-73.98942914193304 40.72618746315748",2 AVENUE,EAST    3 STREET,EAST    4 STREET,252.06
"-73.98942914193304 40.72618746315748,-73.98898482024869 40.726778874878164",2 AVENUE,EAST    4 STREET,EAST    5 STREET,248.18
"-73.98942914193304 40.72618746315748,-73.98898482024869 40.726778874878164",2 AVENUE,EAST    4 STREET,EAST    5 STREET,248.18
"-73.98898482024869 40.726778874878164,-73.98853907653154 40.72740249769754",2 AVENUE,EAST    5 STREET,EAST    6 STREET,258.62
"-73.98898482024869 40.726778874878164,-73.98853907653154 40.72740249769754",2 AVENUE,EAST    5 STREET,EAST    6 STREET,258.62
"-73.98853907653154 40.72740249769754,-73.98811903171467 40.727976744697706",2 AVENUE,EAST    6 STREET,EAST    7 STREET,239.43
"-73.98853907653154 40.72740249769754,-73.98811903171467 40.727976744697706",2 AVENUE,EAST    6 STREET,EAST    7 STREET,239.43
"-73.98811903171467 40.727976744697706,-73.98767161564145 40.72859510401478",2 AVENUE,EAST    7 STREET,ST MARKS PLACE,257.16
"-73.98811903171467 40.727976744697706,-73.98767161564145 40.72859510401478",2 AVENUE,EAST    7 STREET,ST MARKS PLACE,257.16
"-73.98724977701296 40.729186160955976,-73.98680764156742 40.72977688979805",2 AVENUE,EAST    9 STREET,EAST   10 STREET,247.66
"-73.98724977701296 40.729186160955976,-73.98680764156742 40.72977688979805",2 AVENUE,EAST    9 STREET,EAST   10 STREET,247.66
"-73.98767161564145 40.72859510401478,-73.98724977701296 40.729186160955976",2 AVENUE,EAST    9 STREET,ST MARKS PLACE,245.03
"-73.98767161564145 40.72859510401478,-73.98724977701296 40.729186160955976",2 AVENUE,EAST    9 STREET,ST MARKS PLACE,245.03
"-73.98680764156742 40.72977688979805,-73.98637451604185 40.730379657760075",2 AVENUE,EAST   10 STREET,EAST   11 STREET,250.28
"-73.98680764156742 40.72977688979805,-73.98637451604185 40.730379657760075",2 AVENUE,EAST   10 STREET,EAST   11 STREET,250.28
"-73.98637451604185 40.730379657760075,-73.98590859642233 40.73101907973178",2 AVENUE,EAST   11 STREET,EAST   12 STREET,266.36
"-73.98637451604185 40.730379657760075,-73.98590859642233 40.73101907973178",2 AVENUE,EAST   11 STREET,EAST   12 STREET,266.36
"-73.98590859642233 40.73101907973178,-73.98544389914268 40.731657806526215",2 AVENUE,EAST   12 STREET,EAST   13 STREET,265.97
"-73.98590859642233 40.73101907973178,-73.98544389914268 40.731657806526215",2 AVENUE,EAST   12 STREET,EAST   13 STREET,265.97
