Through,From,To,Distance
2 AVENUE,EAST   37 STREET,EAST   38 STREET,255.92
2 AVENUE,EAST   38 STREET,EAST   39 STREET,259.54
2 AVENUE,EAST   38 STREET,EAST   39 STREET,259.54
2 AVENUE,EAST   39 STREET,EAST   40 STREET,258.08
2 AVENUE,EAST   39 STREET,EAST   40 STREET,258.08
2 AVENUE,EAST   40 STREET,EAST   41 STREET,257.03
2 AVENUE,EAST   40 STREET,EAST   41 STREET,257.03
2 AVENUE,EAST   78 STREET,EAST   79 STREET,284.50
2 AVENUE,EAST   78 STREET,EAST   79 STREET,284.50
2 AVENUE,EAST  119 STREET,EAST  120 STREET,267.06
2 AVENUE,EAST  119 STREET,EAST  120 STREET,267.06
2 AVENUE,EAST  120 STREET,EAST  121 STREET,257.54
2 AVENUE,EAST  120 STREET,EAST  121 STREET,257.54
2 AVENUE,EAST  121 STREET,EAST  122 STREET,261.75
2 AVENUE,EAST  121 STREET,EAST  122 STREET,261.75
2 AVENUE,EAST  122 STREET,EAST  123 STREET,262.05
2 AVENUE,EAST  123 STREET,EAST  124 STREET,263.15
2 AVENUE,EAST  124 STREET,EAST  125 STREET,280.35
2 AVENUE,EAST  124 STREET,EAST  125 STREET,280.35
3 AVENUE,EAST   26 STREET,EAST   27 STREET,257.28
3 AVENUE,EAST   26 STREET,EAST   27 STREET,257.28
3 AVENUE,EAST   27 STREET,EAST   28 STREET,257.94
3 AVENUE,EAST   27 STREET,EAST   28 STREET,257.94
3 AVENUE,EAST   28 STREET,EAST   29 STREET,257.14
3 AVENUE,EAST   28 STREET,EAST   29 STREET,257.14
3 AVENUE,EAST   42 STREET,EAST   43 STREET,280.72
3 AVENUE,EAST   42 STREET,EAST   43 STREET,280.72
3 AVENUE,EAST   43 STREET,EAST   44 STREET,260.14
3 AVENUE,EAST   43 STREET,EAST   44 STREET,260.14
3 AVENUE,EAST   44 STREET,EAST   45 STREET,261.15
3 AVENUE,EAST   44 STREET,EAST   45 STREET,261.15
3 AVENUE,EAST   45 STREET,EAST   46 STREET,260.85
