Through,From,To,Distance
BROADWAY,WEST  180 STREET,WEST  181 STREET,289.52
BROADWAY,WEST  180 STREET,WEST  181 STREET,289.52
BROADWAY,WEST  181 STREET,WEST  182 STREET,238.78
BROADWAY,WEST  181 STREET,WEST  182 STREET,238.78
BROADWAY,WEST  182 STREET,WEST  183 STREET,258.42
BROADWAY,WEST  182 STREET,WEST  183 STREET,258.42
BROADWAY,WEST  183 STREET,WEST  184 STREET,242.88
BROADWAY,WEST  183 STREET,WEST  184 STREET,242.88
BROADWAY,WEST  184 STREET,WEST  185 STREET,262.38
BROADWAY,WEST  184 STREET,WEST  185 STREET,262.38
BROADWAY,WEST  185 STREET,WEST  186 STREET,183.74
BROADWAY,WEST  185 STREET,WEST  186 STREET,183.74
BROADWAY,WEST  186 STREET,WEST  187 STREET,377.90
BROADWAY,WEST  186 STREET,WEST  187 STREET,377.90
BROADWAY,WEST  187 STREET,WEST  189 STREET,438.32
BROADWAY,WEST  187 STREET,WEST  189 STREET,438.32
BROADWAY,WEST  189 STREET,WEST  190 STREET,452.26
BROADWAY,WEST  189 STREET,WEST  190 STREET,452.26
BROADWAY,WEST  192 STREET,WEST  193 STREET,169.13
BROADWAY,WEST  192 STREET,WEST  193 STREET,169.13
BROADWAY,WEST  204 STREET,WEST  207 STREET,579.73
BROADWAY,WEST  204 STREET,WEST  207 STREET,579.73
BROADWAY,WEST  212 STREET,WEST  213 STREET,305.12
BROADWAY,WEST  212 STREET,WEST  213 STREET,305.12
BROADWAY,WEST  213 STREET,WEST  214 STREET EXTENSION,140.57
BROADWAY,WEST  214 STREET,WEST  214 STREET EXTENSION,145.17
BROADWAY,WEST  214 STREET,WEST  214 STREET EXTENSION,145.17
BROADWAY,WEST  214 STREET,WEST  215 STREET,306.31
BROADWAY,WEST  214 STREET,WEST  215 STREET,306.31
BROADWAY,WEST  215 STREET,WEST  215 STREET,147.49
BROADWAY,WEST  215 STREET,WEST  216 STREET,288.22
BROADWAY,WEST  215 STREET,WEST  216 STREET,288.22
BROADWAY,WEST  216 STREET,WEST  218 STREET,407.49
BROADWAY,WEST  216 STREET,WEST  218 STREET,407.49
BROADWAY,WEST  219 STREET,WEST  220 STREET,265.68
BROADWAY,WEST  219 STREET,WEST  220 STREET,265.68
BROADWAY,WEST  225 STREET,WEST  225 STREET,199.23
BROADWAY,WEST  225 STREET,WEST  225 STREET,199.23
BROOME STREET,6 AVENUE,6 AVENUE,126.32
BROOME STREET,6 AVENUE,THOMPSON STREET,246.89
BROOME STREET,6 AVENUE,VARICK STREET,421.11
BROOME STREET,6 AVENUE,VARICK STREET,421.11
BROOME STREET,ATTORNEY STREET,RIDGE STREET,86.79
BROOME STREET,BOWERY,ELIZABETH STREET,285.43
BROOME STREET,BROADWAY,CROSBY STREET,264.74
BROOME STREET,BROADWAY,MERCER STREET,264.34
BROOME STREET,CANNON STREET,LEWIS STREET,241.30
BROOME STREET,CANNON STREET,LEWIS STREET,241.30
BROOME STREET,CENTRE STREET,CENTRE MARKET PLACE,97.23
BROOME STREET,CENTRE STREET,LAFAYETTE STREET,171.28
BROOME STREET,CENTRE MARKET PLACE,MULBERRY STREET,159.86
BROOME STREET,CLINTON STREET,SUFFOLK STREET,250.88
BROOME STREET,CLINTON STREET,SUFFOLK STREET,250.88
BROOME STREET,CROSBY STREET,LAFAYETTE STREET,265.93
BROOME STREET,ELIZABETH STREET,MOTT STREET,242.04
BROOME STREET,ESSEX STREET,LUDLOW STREET,239.62
BROOME STREET,ESSEX STREET,LUDLOW STREET,239.62
BROOME STREET,ESSEX STREET,NORFOLK STREET,236.17
BROOME STREET,ESSEX STREET,NORFOLK STREET,236.17
BROOME STREET,GREENE STREET,MERCER STREET,247.67
BROOME STREET,GREENE STREET,WOOSTER STREET,253.10
BROOME STREET,MOTT STREET,MULBERRY STREET,252.51
BROOME STREET,NORFOLK STREET,SUFFOLK STREET,250.15
BROOME STREET,NORFOLK STREET,SUFFOLK STREET,250.15
BROOME STREET,PITT STREET,RIDGE STREET,273.71
BROOME STREET,PITT STREET,RIDGE STREET,273.71
BROOME STREET,THOMPSON STREET,WATTS STREET,226.69
CANAL STREET,ALLEN STREET,ORCHARD STREET,179.21
CANAL STREET,ALLEN STREET,ORCHARD STREET,179.21
CANAL STREET,DIVISION STREET,LUDLOW STREET,112.71
CANAL STREET,DIVISION STREET,LUDLOW STREET,112.71
CANAL STREET,LUDLOW STREET,ORCHARD STREET,225.98
CANAL STREET,LUDLOW STREET,ORCHARD STREET,225.98
WEST   59 STREET,6 AVENUE,7 AVENUE,900.93
WEST   59 STREET,6 AVENUE,7 AVENUE,900.93
WEST   59 STREET,6 AVENUE,GRAND ARMY PLAZA,824.58
WEST   59 STREET,6 AVENUE,GRAND ARMY PLAZA,824.58
WEST   59 STREET,7 AVENUE,COLUMBUS CIRCLE,769.34
WEST   59 STREET,7 AVENUE,COLUMBUS CIRCLE,769.34
WEST   59 STREET,9 AVENUE,10 AVENUE,900.82
WEST   59 STREET,10 AVENUE,11 AVENUE,898.95
CENTRAL PARK WEST,FRED DOUGLASS CIRCLE,WEST  109 STREET,162.00
CENTRAL PARK WEST,FRED DOUGLASS CIRCLE,WEST  109 STREET,162.00
CENTRAL PARK WEST,WEST   62 STREET,WEST   63 STREET,259.22
CENTRAL PARK WEST,WEST   62 STREET,WEST   63 STREET,259.22
CENTRAL PARK WEST,WEST   63 STREET,WEST   64 STREET,261.49
CENTRAL PARK WEST,WEST   63 STREET,WEST   64 STREET,261.49
CENTRAL PARK WEST,WEST   64 STREET,WEST   65 STREET,261.26
CENTRAL PARK WEST,WEST   64 STREET,WEST   65 STREET,261.26
CENTRAL PARK WEST,WEST   65 STREET,WEST   66 STREET,266.26
CENTRAL PARK WEST,WEST   65 STREET,WEST   66 STREET,266.26
CENTRAL PARK WEST,WEST   66 STREET,WEST   67 STREET,254.45
CENTRAL PARK WEST,WEST   66 STREET,WEST   67 STREET,254.45
CENTRAL PARK WEST,WEST   67 STREET,WEST   68 STREET,260.15
CENTRAL PARK WEST,WEST   67 STREET,WEST   68 STREET,260.15
CENTRAL PARK WEST,WEST   68 STREET,WEST   69 STREET,260.27
CENTRAL PARK WEST,WEST   68 STREET,WEST   69 STREET,260.27
CENTRAL PARK WEST,WEST   69 STREET,WEST   70 STREET,261.81
CENTRAL PARK WEST,WEST   69 STREET,WEST   70 STREET,261.81
CENTRAL PARK WEST,WEST   70 STREET,WEST   71 STREET,259.60
CENTRAL PARK WEST,WEST   70 STREET,WEST   71 STREET,259.60
CENTRAL PARK WEST,WEST   71 STREET,WEST   72 STREET,286.47
CENTRAL PARK WEST,WEST   72 STREET,WEST   73 STREET,282.94
CENTRAL PARK WEST,WEST   73 STREET,WEST   74 STREET,263.99
CENTRAL PARK WEST,WEST   73 STREET,WEST   74 STREET,263.99
CENTRAL PARK WEST,WEST   74 STREET,WEST   75 STREET,264.87
CENTRAL PARK WEST,WEST   74 STREET,WEST   75 STREET,264.87
CENTRAL PARK WEST,WEST   75 STREET,WEST   76 STREET,265.70
CENTRAL PARK WEST,WEST   75 STREET,WEST   76 STREET,265.70
CENTRAL PARK WEST,WEST   76 STREET,WEST   77 STREET,280.81
CENTRAL PARK WEST,WEST   76 STREET,WEST   77 STREET,280.81
CENTRAL PARK WEST,WEST   77 STREET,WEST   81 STREET,1058.67
CENTRAL PARK WEST,WEST   81 STREET,WEST   82 STREET,285.36
CENTRAL PARK WEST,WEST   82 STREET,WEST   83 STREET,264.12
CENTRAL PARK WEST,WEST   83 STREET,WEST   84 STREET,264.12
CENTRAL PARK WEST,WEST   84 STREET,WEST   85 STREET,265.40
CENTRAL PARK WEST,WEST   85 STREET,WEST   86 STREET,284.10
CENTRAL PARK WEST,WEST   96 STREET,WEST   97 STREET,290.81
CENTRAL PARK WEST,WEST   96 STREET,WEST   97 STREET,290.81
CENTRAL PARK WEST,WEST   97 STREET,WEST  100 STREET,781.02
CENTRAL PARK WEST,WEST  100 STREET,WEST  101 STREET,256.26
CENTRAL PARK WEST,WEST  101 STREET,WEST  102 STREET,261.61
CENTRAL PARK WEST,WEST  101 STREET,WEST  102 STREET,261.61
CENTRAL PARK WEST,WEST  102 STREET,WEST  103 STREET,262.90
CENTRAL PARK WEST,WEST  102 STREET,WEST  103 STREET,262.90
CENTRAL PARK WEST,WEST  103 STREET,WEST  104 STREET,261.93
CENTRAL PARK WEST,WEST  103 STREET,WEST  104 STREET,261.93
CENTRAL PARK WEST,WEST  104 STREET,WEST  105 STREET,262.04
CENTRAL PARK WEST,WEST  104 STREET,WEST  105 STREET,262.04
CENTRAL PARK WEST,WEST  105 STREET,WEST  106 STREET,279.50
CENTRAL PARK WEST,WEST  105 STREET,WEST  106 STREET,279.50
CENTRAL PARK WEST,WEST  106 STREET,WEST  107 STREET,283.07
CENTRAL PARK WEST,WEST  106 STREET,WEST  107 STREET,283.07
CENTRAL PARK WEST,WEST  107 STREET,WEST  108 STREET,263.67
CENTRAL PARK WEST,WEST  107 STREET,WEST  108 STREET,263.67
CENTRAL PARK WEST,WEST  108 STREET,WEST  109 STREET,260.56
CENTRAL PARK WEST,WEST  108 STREET,WEST  109 STREET,260.56
CENTRE STREET,CANAL STREET,WALKER STREET,169.63
CENTRE STREET,CHAMBERS STREET,BROOKLYN BRDG APPROACH,34.09
CENTRE STREET,DUANE STREET,PEARL STREET,188.70
CENTRE STREET,FOLEY SQUARE,LEONARD STREET,244.47
CENTRE STREET,WALKER STREET,WHITE STREET,293.05
CHAMBERS STREET,BROADWAY,ELK STREET,483.96
CHAMBERS STREET,BROADWAY,ELK STREET,483.96
CHAMBERS STREET,CENTRE STREET,ELK STREET,244.35
CHAMBERS STREET,CENTRE STREET,ELK STREET,244.35
CHARLES STREET,7 AVENUE SOUTH,WEST    4 STREET,333.86
CHARLES STREET,7 AVENUE SOUTH,WEST    4 STREET,333.86
CHARLES STREET,BLEECKER STREET,HUDSON STREET,405.64
CHARLES STREET,BLEECKER STREET,HUDSON STREET,405.64
CHARLES STREET,BLEECKER STREET,WEST    4 STREET,449.79
CHARLES STREET,BLEECKER STREET,WEST    4 STREET,449.79
CHARLES STREET,GREENWICH AVENUE,WAVERLY PLACE,344.12
CHARLES STREET,GREENWICH AVENUE,WAVERLY PLACE,344.12
CHARLES STREET,GREENWICH STREET,HUDSON STREET,276.68
CHARLES STREET,GREENWICH STREET,HUDSON STREET,276.68
CHARLES STREET,GREENWICH STREET,WASHINGTON STREET,375.69
CHARLES STREET,GREENWICH STREET,WASHINGTON STREET,375.69
CHARLTON STREET,6 AVENUE,VARICK STREET,586.82
CHARLTON STREET,GREENWICH STREET,HUDSON STREET,425.87
CHARLTON STREET,HUDSON STREET,VARICK STREET,495.87
CHERRY STREET,JEFFERSON STREET,RUTGERS SLIP,57.67
CHERRY STREET,PIKE SLIP,RUTGERS SLIP,606.80
CHRISTOPHER STREET,7 AVENUE SOUTH,BLEECKER STREET,422.48
CHRISTOPHER STREET,7 AVENUE SOUTH,GROVE STREET,445.02
CHRISTOPHER STREET,BEDFORD STREET,BLEECKER STREET,449.21
CHRISTOPHER STREET,BEDFORD STREET,HUDSON STREET,153.68
CHRISTOPHER STREET,GAY STREET,GREENWICH AVENUE,198.19
CHRISTOPHER STREET,GREENWICH STREET,HUDSON STREET,317.83
CHRISTOPHER STREET,GREENWICH STREET,HUDSON STREET,317.83
CHRISTOPHER STREET,GREENWICH STREET,WASHINGTON STREET,317.07
CHRISTOPHER STREET,GREENWICH STREET,WASHINGTON STREET,317.07
CHRISTOPHER STREET,WASHINGTON STREET,WEEHAWKEN STREET,349.59
CHRISTOPHER STREET,WASHINGTON STREET,WEEHAWKEN STREET,349.59
CHRISTOPHER STREET,WEEHAWKEN STREET,WEST STREET,103.59
CHURCH STREET,BARCLAY STREET,PARK PLACE,224.94
CHURCH STREET,BARCLAY STREET,VESEY STREET,264.87
CHURCH STREET,CANAL STREET,LISPENARD STREET,219.08
CHURCH STREET,CANAL STREET,LISPENARD STREET,219.08
CHURCH STREET,CHAMBERS STREET,READE STREET,214.47
CHURCH STREET,CHAMBERS STREET,READE STREET,214.47
CHURCH STREET,CHAMBERS STREET,WARREN STREET,240.24
CHURCH STREET,CORTLANDT STREET,DEY STREET,265.33
CHURCH STREET,CORTLANDT STREET,DEY STREET,265.33
CHURCH STREET,CORTLANDT STREET,LIBERTY STREET,276.31
CHURCH STREET,CORTLANDT STREET,LIBERTY STREET,276.31
CHURCH STREET,DEY STREET,FULTON STREET,210.11
CHURCH STREET,DEY STREET,FULTON STREET,210.11
CHURCH STREET,DUANE STREET,READE STREET,240.33
CHURCH STREET,DUANE STREET,READE STREET,240.33
CHURCH STREET,DUANE STREET,THOMAS STREET,227.11
CHURCH STREET,DUANE STREET,THOMAS STREET,227.11
CHURCH STREET,FULTON STREET,VESEY STREET,221.93
CHURCH STREET,FULTON STREET,VESEY STREET,221.93
CHURCH STREET,LEONARD STREET,WORTH STREET,255.02
CHURCH STREET,LEONARD STREET,WORTH STREET,255.02
CHURCH STREET,LISPENARD STREET,WALKER STREET,244.02
CHURCH STREET,LISPENARD STREET,WALKER STREET,244.02
CHURCH STREET,MURRAY STREET,PARK PLACE,229.04
CHURCH STREET,MURRAY STREET,WARREN STREET,240.41
CHURCH STREET,THOMAS STREET,WORTH STREET,230.48
CHURCH STREET,THOMAS STREET,WORTH STREET,230.48
CHURCH STREET,WALKER STREET,WHITE STREET,259.16
CHURCH STREET,WALKER STREET,WHITE STREET,259.16
CLEVELAND PLACE,KENMARE STREET,LAFAYETTE STREET,319.59
CLINTON STREET,AVENUE B,STANTON STREET,486.27
CLINTON STREET,CHERRY STREET,MADISON STREET,500.39
CLINTON STREET,CHERRY STREET,MADISON STREET,500.39
CLINTON STREET,CHERRY STREET,SOUTH STREET,392.02
CLINTON STREET,CHERRY STREET,SOUTH STREET,392.02
CLINTON STREET,DELANCEY STREET,RIVINGTON STREET,531.29
CLINTON STREET,EAST BROADWAY,GRAND STREET,618.04
CLINTON STREET,EAST BROADWAY,GRAND STREET,618.04
CLINTON STREET,EAST BROADWAY,HENRY STREET,247.55
CLINTON STREET,EAST BROADWAY,HENRY STREET,247.55
CLINTON STREET,HENRY STREET,MADISON STREET,270.17
CLINTON STREET,HENRY STREET,MADISON STREET,270.17
CLINTON STREET,RIVINGTON STREET,STANTON STREET,450.71
CLINTON STREET,RIVINGTON STREET,STANTON STREET,450.71
COLUMBIA STREET,AVENUE D,STANTON STREET EXTENSION,497.34
COLUMBIA STREET,AVENUE D,STANTON STREET EXTENSION,497.34
COLUMBIA STREET,BROOME STREET,DELANCEY ST SOUTH,315.55
COLUMBIA STREET,BROOME STREET,GRAND STREET,360.44
COLUMBIA STREET,BROOME STREET,GRAND STREET,360.44
COLUMBIA STREET,DELANCEY STREET,DELANCEY ST SOUTH,103.31
COLUMBIA STREET,DELANCEY STREET,RIVINGTON STREET,536.55
COLUMBIA STREET,RIVINGTON STREET,STANTON STREET EXTENSION,439.79
COLUMBIA STREET,RIVINGTON STREET,STANTON STREET EXTENSION,439.79
COLUMBUS AVENUE,WEST  110 STREET,WEST  109 STREET,252.06
COLUMBUS AVENUE,WEST  110 STREET,WEST  109 STREET,252.06
COLUMBUS AVENUE,WEST   80 STREET,WEST   81 STREET,254.72
COLUMBUS AVENUE,WEST   80 STREET,WEST   81 STREET,254.72
COLUMBUS AVENUE,WEST   81 STREET,WEST   82 STREET,274.61
COLUMBUS AVENUE,WEST   81 STREET,WEST   82 STREET,274.61
COLUMBUS AVENUE,WEST   82 STREET,WEST   83 STREET,265.00
COLUMBUS AVENUE,WEST   82 STREET,WEST   83 STREET,265.00
COLUMBUS AVENUE,WEST   83 STREET,WEST   84 STREET,263.47
COLUMBUS AVENUE,WEST   83 STREET,WEST   84 STREET,263.47
COLUMBUS AVENUE,WEST   84 STREET,WEST   85 STREET,264.14
COLUMBUS AVENUE,WEST   84 STREET,WEST   85 STREET,264.14
COLUMBUS AVENUE,WEST   85 STREET,WEST   86 STREET,284.16
COLUMBUS AVENUE,WEST   85 STREET,WEST   86 STREET,284.16
COLUMBUS AVENUE,WEST   86 STREET,WEST   87 STREET,281.94
COLUMBUS AVENUE,WEST   86 STREET,WEST   87 STREET,281.94
COLUMBUS AVENUE,WEST   87 STREET,WEST   88 STREET,262.16
COLUMBUS AVENUE,WEST   87 STREET,WEST   88 STREET,262.16
COLUMBUS AVENUE,WEST   88 STREET,WEST   89 STREET,261.67
COLUMBUS AVENUE,WEST   88 STREET,WEST   89 STREET,261.67
COLUMBUS AVENUE,WEST   89 STREET,WEST   90 STREET,263.70
COLUMBUS AVENUE,WEST   89 STREET,WEST   90 STREET,263.70
COLUMBUS AVENUE,WEST   90 STREET,WEST   91 STREET,258.05
COLUMBUS AVENUE,WEST   90 STREET,WEST   91 STREET,258.05
COLUMBUS AVENUE,WEST   91 STREET,WEST   92 STREET,259.99
COLUMBUS AVENUE,WEST   91 STREET,WEST   92 STREET,259.99
COLUMBUS AVENUE,WEST   92 STREET,WEST   93 STREET,263.40
COLUMBUS AVENUE,WEST   92 STREET,WEST   93 STREET,263.40
COLUMBUS AVENUE,WEST   93 STREET,WEST   94 STREET,263.94
COLUMBUS AVENUE,WEST   93 STREET,WEST   94 STREET,263.94
COLUMBUS AVENUE,WEST   94 STREET,WEST   95 STREET,259.10
COLUMBUS AVENUE,WEST   94 STREET,WEST   95 STREET,259.10
COLUMBUS AVENUE,WEST   95 STREET,WEST   96 STREET,280.04
COLUMBUS AVENUE,WEST   95 STREET,WEST   96 STREET,280.04
COLUMBUS AVENUE,WEST   96 STREET,WEST   97 STREET,291.60
COLUMBUS AVENUE,WEST   96 STREET,WEST   97 STREET,291.60
COLUMBUS AVENUE,WEST   97 STREET,WEST  100 STREET,791.44
COLUMBUS AVENUE,WEST   97 STREET,WEST  100 STREET,791.44
COLUMBUS AVENUE,WEST  100 STREET,WEST  104 STREET,1023.50
COLUMBUS AVENUE,WEST  104 STREET,WEST  105 STREET,271.21
COLUMBUS AVENUE,WEST  104 STREET,WEST  105 STREET,271.21
COLUMBUS AVENUE,WEST  105 STREET,WEST  106 STREET,279.71
COLUMBUS AVENUE,WEST  105 STREET,WEST  106 STREET,279.71
COLUMBUS AVENUE,WEST  106 STREET,WEST  107 STREET,282.67
COLUMBUS AVENUE,WEST  106 STREET,WEST  107 STREET,282.67
COLUMBUS AVENUE,WEST  107 STREET,WEST  108 STREET,262.13
COLUMBUS AVENUE,WEST  107 STREET,WEST  108 STREET,262.13
COLUMBUS AVENUE,WEST  108 STREET,WEST  109 STREET,261.85
COLUMBUS AVENUE,WEST  108 STREET,WEST  109 STREET,261.85
DIVISION STREET,ALLEN STREET,ELDRIDGE STREET,314.06
DIVISION STREET,ALLEN STREET,ELDRIDGE STREET,314.06
DIVISION STREET,ALLEN STREET,ORCHARD STREET,191.46
DIVISION STREET,ALLEN STREET,ORCHARD STREET,191.46
DIVISION STREET,CANAL STREET,LUDLOW STREET,132.69
DIVISION STREET,CANAL STREET,LUDLOW STREET,132.69
DIVISION STREET,LUDLOW STREET,ORCHARD STREET,253.27
DIVISION STREET,LUDLOW STREET,ORCHARD STREET,253.27
DOVER STREET,FRONT STREET,SOUTH STREET,186.99
DOVER STREET,FRONT STREET,SOUTH STREET,186.99
DOVER STREET,FRONT STREET,WATER STREET,191.33
DOVER STREET,FRONT STREET,WATER STREET,191.33
DOWNING STREET,6 AVENUE,BEDFORD STREET,438.41
DOWNING STREET,6 AVENUE,BEDFORD STREET,438.41
DOWNING STREET,BEDFORD STREET,VARICK STREET,481.37
DOWNING STREET,BEDFORD STREET,VARICK STREET,481.37
DOYERS STREET,BOWERY,PELL STREET,368.38
DOYERS STREET,BOWERY,PELL STREET,368.38
DUANE STREET,BROADWAY,TRIMBLE PLACE,376.81
DUANE STREET,CHURCH STREET,TRIMBLE PLACE,164.90
DUANE STREET,CHURCH STREET,TRIMBLE PLACE,164.90
DUANE STREET,CHURCH STREET,WEST BROADWAY,414.96
DUANE STREET,CHURCH STREET,WEST BROADWAY,414.96
DUANE STREET,GREENWICH STREET,STAPLE STREET,297.51
DUANE STREET,HUDSON STREET,STAPLE STREET,160.34
DUANE STREET,HUDSON STREET,STAPLE STREET,160.34
DUANE STREET,HUDSON STREET,WEST BROADWAY,237.65
DUANE STREET,HUDSON STREET,WEST BROADWAY,237.65
DYCKMAN STREET,BROADWAY,VERMILYEA AVENUE,409.60
DYCKMAN STREET,BROADWAY,VERMILYEA AVENUE,409.60
DYCKMAN STREET,NAGLE AVENUE,POST AVENUE,399.86
DYCKMAN STREET,NAGLE AVENUE,POST AVENUE,399.86
DYCKMAN STREET,POST AVENUE,SHERMAN AVENUE,402.45
DYCKMAN STREET,POST AVENUE,SHERMAN AVENUE,402.45
DYCKMAN STREET,SHERMAN AVENUE,VERMILYEA AVENUE,385.09
DYCKMAN STREET,SHERMAN AVENUE,VERMILYEA AVENUE,385.09
EAST    1 STREET,1 AVENUE,2 AVENUE,758.24
EAST    1 STREET,1 AVENUE,2 AVENUE,758.24
EAST    1 STREET,1 AVENUE,LUDLOW STREET,694.91
EAST    1 STREET,1 AVENUE,LUDLOW STREET,694.91
EAST    1 STREET,2 AVENUE,EXTRA PLACE,257.87
EAST    1 STREET,2 AVENUE,EXTRA PLACE,257.87
EAST    1 STREET,2 AVENUE,EXTRA PLACE,257.87
EAST    1 STREET,AVENUE A,LUDLOW STREET,694.91
EAST    1 STREET,BOWERY,EXTRA PLACE,219.48
EAST    1 STREET,BOWERY,EXTRA PLACE,219.48
EAST    2 STREET,2 AVENUE,BOND STREET,542.69
EAST    5 STREET,AVENUE A,AVENUE B,735.85
EAST    5 STREET,AVENUE A,AVENUE B,735.85
EAST    5 STREET,AVENUE C,AVENUE D,754.66
EAST    5 STREET,AVENUE C,AVENUE D,754.66
EAST    5 STREET,AVENUE C,DEAD END,545.98
EAST    5 STREET,AVENUE C,DEAD END,545.98
EAST    6 STREET,1 AVENUE,2 AVENUE,753.25
EAST    6 STREET,1 AVENUE,AVENUE A,698.18
EAST    6 STREET,AVENUE A,AVENUE B,735.70
EAST    6 STREET,AVENUE A,AVENUE B,735.70
EAST    6 STREET,AVENUE B,AVENUE C,745.83
EAST    6 STREET,AVENUE B,AVENUE C,745.83
EAST    6 STREET,AVENUE C,AVENUE D,756.94
EAST    6 STREET,AVENUE C,AVENUE D,756.94
EAST    6 STREET,AVENUE D,F D R DRIVE,675.47
EAST    8 STREET,AVENUE B,AVENUE C,746.07
EAST    8 STREET,AVENUE B,AVENUE C,746.07
EAST    9 STREET,3 AVENUE,4 AVENUE,329.84
EAST    9 STREET,5 AVENUE,UNIVERSITY PLACE,512.32
EAST    9 STREET,AVENUE B,AVENUE C,746.38
EAST    9 STREET,AVENUE B,AVENUE C,746.38
EAST    9 STREET,AVENUE C,AVENUE D,755.34
EAST    9 STREET,AVENUE C,AVENUE D,755.34
EAST    9 STREET,BROADWAY,LAFAYETTE STREET,406.37
EAST    9 STREET,BROADWAY,UNIVERSITY PLACE,752.64
EAST   10 STREET,1 AVENUE,AVENUE A,697.10
EAST   10 STREET,1 AVENUE,AVENUE A,697.10
EAST   10 STREET,4 AVENUE,BROADWAY,338.69
EAST   10 STREET,4 AVENUE,BROADWAY,338.69
EAST   10 STREET,5 AVENUE,UNIVERSITY PLACE,530.90
EAST   10 STREET,5 AVENUE,UNIVERSITY PLACE,530.90
EAST   10 STREET,AVENUE A,AVENUE B,735.92
EAST   10 STREET,AVENUE A,AVENUE B,735.92
EAST   10 STREET,AVENUE B,AVENUE C,749.54
EAST   10 STREET,AVENUE B,AVENUE C,749.54
EAST   10 STREET,AVENUE C,SZOLD PLACE,418.41
EAST   10 STREET,AVENUE C,SZOLD PLACE,418.41
EAST   10 STREET,AVENUE D,F D R DRIVE,593.20
EAST   10 STREET,AVENUE D,F D R DRIVE,593.20
EAST   10 STREET,AVENUE D,SZOLD PLACE,332.92
EAST   10 STREET,AVENUE D,SZOLD PLACE,332.92
EAST   10 STREET,BROADWAY,UNIVERSITY PLACE,745.95
EAST   10 STREET,BROADWAY,UNIVERSITY PLACE,745.95
EAST   11 STREET,1 AVENUE,2 AVENUE,754.64
EAST   11 STREET,1 AVENUE,2 AVENUE,754.64
EAST   11 STREET,1 AVENUE,AVENUE A,698.42
EAST   11 STREET,1 AVENUE,AVENUE A,698.42
EAST   11 STREET,2 AVENUE,STUYVESANT ALLEY,521.50
EAST   11 STREET,2 AVENUE,STUYVESANT ALLEY,521.50
EAST   11 STREET,3 AVENUE,STUYVESANT ALLEY,187.64
EAST   11 STREET,AVENUE A,AVENUE B,735.23
EAST   11 STREET,AVENUE A,AVENUE B,735.23
EAST   11 STREET,AVENUE B,AVENUE C,753.49
EAST   11 STREET,AVENUE B,AVENUE C,753.49
EAST   12 STREET,1 AVENUE,AVENUE A,698.87
EAST   12 STREET,1 AVENUE,AVENUE A,698.87
EAST   12 STREET,4 AVENUE,BROADWAY,344.24
EAST   12 STREET,4 AVENUE,BROADWAY,344.24
EAST   12 STREET,5 AVENUE,UNIVERSITY PLACE,567.15
EAST   12 STREET,AVENUE A,AVENUE B,736.97
EAST   12 STREET,AVENUE A,AVENUE B,736.97
EAST   12 STREET,AVENUE B,AVENUE C,751.64
EAST   12 STREET,AVENUE B,AVENUE C,751.64
EAST   12 STREET,AVENUE D,SZOLD PLACE,336.13
EAST   12 STREET,AVENUE D,SZOLD PLACE,336.13
EAST   12 STREET,BROADWAY,UNIVERSITY PLACE,532.02
EAST   13 STREET,1 AVENUE,2 AVENUE,752.65
EAST   13 STREET,1 AVENUE,2 AVENUE,752.65
EAST   13 STREET,1 AVENUE,AVENUE A,701.53
EAST   13 STREET,1 AVENUE,AVENUE A,701.53
EAST   13 STREET,2 AVENUE,3 AVENUE,709.88
EAST   13 STREET,2 AVENUE,3 AVENUE,709.88
EAST   13 STREET,3 AVENUE,4 AVENUE,692.81
EAST   13 STREET,3 AVENUE,4 AVENUE,692.81
EAST   13 STREET,4 AVENUE,BROADWAY,340.48
EAST   13 STREET,4 AVENUE,BROADWAY,340.48
EAST   13 STREET,5 AVENUE,UNIVERSITY PLACE,586.82
EAST   13 STREET,5 AVENUE,UNIVERSITY PLACE,586.82
EAST   13 STREET,AVENUE A,AVENUE B,734.67
EAST   13 STREET,AVENUE A,AVENUE B,734.67
EAST   13 STREET,BROADWAY,UNIVERSITY PLACE,418.25
EAST   13 STREET,BROADWAY,UNIVERSITY PLACE,418.25
EAST   14 STREET,3 AVENUE,IRVING PLACE,506.46
EAST   14 STREET,3 AVENUE,IRVING PLACE,506.46
EAST   14 STREET,4 AVENUE,BROADWAY,278.08
EAST   14 STREET,4 AVENUE,BROADWAY,278.08
EAST   14 STREET,4 AVENUE,IRVING PLACE,355.27
EAST   14 STREET,4 AVENUE,IRVING PLACE,355.27
EAST   14 STREET,5 AVENUE,UNION SQUARE WEST,600.40
EAST   19 STREET,1 AVENUE,2 AVENUE,788.50
EAST   19 STREET,2 AVENUE,3 AVENUE,709.30
EAST   19 STREET,3 AVENUE,IRVING PLACE,507.18
EAST   19 STREET,5 AVENUE,BROADWAY,450.78
EAST   19 STREET,5 AVENUE,BROADWAY,450.78
EAST   19 STREET,BROADWAY,PARK AVENUE SOUTH,563.39
EAST   19 STREET,BROADWAY,PARK AVENUE SOUTH,563.39
EAST   19 STREET,IRVING PLACE,PARK AVENUE SOUTH,518.76
EAST   20 STREET,1 AVENUE,2 AVENUE,787.67
EAST   20 STREET,1 AVENUE,2 AVENUE,787.67
EAST   20 STREET,2 AVENUE,3 AVENUE,709.56
EAST   20 STREET,2 AVENUE,3 AVENUE,709.56
EAST   21 STREET,1 AVENUE,2 AVENUE,789.61
