"[111, 112]",71,43,44,257.35
"[112, 113]",71,44,45,258.29
"[113, 114]",71,45,46,257.09
"[115, 114]",71,46,57,277.65
"[116, 117]",71,23,24,259.45
"[117, 118]",71,24,25,262.91
"[118, 119]",71,25,26,259.32
"[119, 120]",71,26,27,261.54
"[120, 121]",71,27,28,260.86
"[121, 122]",71,28,29,280.33
"[123, 122]",71,29,64,288.19
"[124, 125]",71,67,68,259.77
"[124, 125]",71,67,68,259.77
"[125, 126]",71,68,69,262.18
"[125, 126]",71,68,69,262.18
"[126, 127]",71,69,70,260.09
"[126, 127]",71,69,70,260.09
"[127, 128]",71,70,78,261.10
"[127, 128]",71,70,78,261.10
"[128, 129]",71,78,79,259.26
"[128, 129]",71,78,79,259.26
"[129, 130]",71,79,80,260.78
"[130, 131]",71,80,81,262.62
"[130, 131]",71,80,81,262.62
"[131, 132]",71,81,82,258.33
"[131, 132]",71,81,82,258.33
"[132, 133]",71,82,83,261.25
"[132, 133]",71,82,83,261.25
"[133, 134]",71,83,84,262.09
"[133, 134]",71,83,84,262.09
"[134, 135]",71,84,85,284.70
"[134, 135]",71,84,85,284.70
"[135, 136]",71,85,86,284.01
"[136, 137]",71,86,87,263.58
"[136, 137]",71,86,87,263.58
"[137, 138]",71,87,88,264.51
"[137, 138]",71,87,88,264.51
"[138, 139]",71,88,89,265.06
"[138, 139]",71,88,89,265.06
"[139, 140]",71,89,90,263.44
"[139, 140]",71,89,90,263.44
"[140, 141]",71,90,47,263.43
"[140, 141]",71,90,47,263.43
"[142, 141]",71,47,48,289.05
"[142, 141]",71,47,48,289.05
"[142, 143]",71,48,91,280.54
"[142, 143]",71,48,91,280.54
"[144, 145]",71,92,93,264.27
"[144, 145]",71,92,93,264.27
"[145, 146]",71,93,94,265.50
"[145, 146]",71,93,94,265.50
"[146, 147]",71,94,95,268.77
"[146, 147]",71,94,95,268.77
"[147, 148]",71,95,96,261.46
"[147, 148]",71,95,96,261.46
"[148, 149]",71,96,97,279.20
"[148, 149]",71,96,97,279.20
"[149, 150]",71,97,98,285.70
"[149, 150]",71,97,98,285.70
"[150, 151]",71,98,99,258.36
"[150, 151]",71,98,99,258.36
"[151, 152]",71,99,100,261.50
"[151, 152]",71,99,100,261.50
"[152, 153]",71,100,101,257.83
"[152, 153]",71,100,101,257.83
"[153, 154]",71,101,102,262.99
"[153, 154]",71,101,102,262.99
"[154, 155]",71,102,103,263.67
"[154, 155]",71,102,103,263.67
"[155, 156]",71,103,104,266.52
"[155, 156]",71,103,104,266.52
"[156, 157]",71,104,105,257.30
"[156, 157]",71,104,105,257.30
"[158, 159]",71,106,107,262.60
"[158, 159]",71,106,107,262.60
"[159, 160]",71,107,108,281.80
"[159, 160]",71,107,108,281.80
"[160, 161]",71,108,109,279.69
"[160, 161]",71,108,109,279.69
"[161, 162]",71,109,110,263.35
"[161, 162]",71,109,110,263.35
"[162, 163]",71,110,111,262.61
"[162, 163]",71,110,111,262.61
"[164, 165]",71,112,113,159.17
"[166, 167]",71,114,115,763.47
"[166, 168]",71,115,116,292.97
"[168, 169]",71,116,117,281.99
"[169, 170]",71,117,118,261.71
"[170, 171]",71,118,49,261.62
"[172, 173]",71,119,120,259.88
"[172, 173]",71,119,120,259.88
"[173, 174]",71,120,121,259.17
"[174, 175]",71,121,122,260.15
"[175, 176]",71,122,123,259.65
"[176, 177]",71,123,124,260.96
"[177, 178]",71,124,125,270.35
"[179, 180]",71,126,127,207.16
"[181, 182]",128,129,130,150.38
"[181, 182]",128,129,130,150.38
"[182, 183]",128,129,131,121.91
"[182, 183]",128,129,131,121.91
"[184, 185]",128,132,133,249.41
"[184, 185]",128,132,133,249.41
"[184, 185]",128,132,133,249.41
"[186, 187]",128,134,135,767.73
"[186, 187]",128,134,135,767.73
"[188, 189]",128,136,137,268.54
"[188, 189]",128,136,137,268.54
"[190, 188]",128,136,138,269.79
"[191, 184]",128,133,139,260.34
"[191, 184]",128,133,139,260.34
"[191, 184]",128,133,139,260.34
"[192, 193]",128,135,140,247.57
"[194, 195]",128,137,141,508.27
"[194, 195]",128,137,141,508.27
"[196, 190]",128,138,139,281.33
"[196, 190]",128,138,139,281.33
"[197, 198]",128,142,143,257.48
"[197, 198]",128,142,143,257.48
"[198, 199]",128,143,144,258.28
"[198, 199]",128,143,144,258.28
"[199, 200]",128,144,145,257.36
"[199, 200]",128,144,145,257.36
"[200, 201]",128,145,146,257.19
"[200, 201]",128,145,146,257.19
"[201, 202]",128,146,147,257.74
"[201, 202]",128,146,147,257.74
"[202, 203]",128,147,148,257.66
"[202, 203]",128,147,148,257.66
"[203, 181]",128,148,130,260.66
"[183, 204]",128,131,149,275.62
"[183, 204]",128,131,149,275.62
"[205, 206]",150,151,152,279.13
"[207, 208]",150,153,154,264.84
"[207, 208]",150,153,154,264.84
"[209, 210]",150,155,126,276.70
"[209, 210]",150,155,126,276.70
"[211, 210]",150,126,127,258.23
"[211, 210]",150,126,127,258.23
"[211, 212]",150,127,142,257.98
"[211, 212]",150,127,142,257.98
"[212, 213]",150,142,143,255.94
"[212, 213]",150,142,143,255.94
"[213, 214]",150,143,144,257.78
"[213, 214]",150,143,144,257.78
"[214, 215]",150,144,145,257.89
"[214, 215]",150,144,145,257.89
"[215, 216]",150,145,146,255.93
"[215, 216]",150,145,146,255.93
"[216, 217]",150,146,147,262.67
"[216, 217]",150,146,147,262.67
"[217, 218]",150,147,148,252.06
"[217, 218]",150,147,148,252.06
"[219, 220]",150,156,157,257.30
"[221, 222]",150,158,159,255.70
"[221, 222]",150,158,159,255.70
"[222, 223]",150,159,160,265.59
"[222, 223]",150,159,160,265.59
"[223, 224]",150,160,161,260.32
"[223, 224]",150,160,161,260.32
"[224, 225]",150,161,162,260.35
"[224, 225]",150,161,162,260.35
"[225, 226]",150,162,163,260.57
"[225, 226]",150,162,163,260.57
"[226, 227]",150,163,164,261.33
"[226, 227]",150,163,164,261.33
"[227, 228]",150,164,165,261.03
"[227, 228]",150,164,165,261.03
"[228, 229]",150,165,166,258.64
"[228, 229]",150,165,166,258.64
"[229, 230]",150,166,167,281.99
"[230, 206]",150,167,152,281.55
"[231, 232]",150,168,169,260.21
"[231, 232]",150,168,169,260.21
"[233, 231]",150,169,170,259.33
"[233, 231]",150,169,170,259.33
"[234, 233]",150,170,171,259.38
"[234, 233]",150,170,171,259.38
"[235, 234]",150,171,172,261.14
"[235, 234]",150,171,172,261.14
"[236, 235]",150,172,173,259.71
"[236, 235]",150,172,173,259.71
"[237, 236]",150,173,174,258.98
"[237, 236]",150,173,174,258.98
"[238, 237]",150,174,175,259.95
"[238, 237]",150,174,175,259.95
"[238, 239]",150,175,176,279.76
"[238, 239]",150,175,176,279.76
"[239, 240]",150,176,177,280.21
"[239, 240]",150,176,177,280.21
"[241, 240]",150,177,178,259.78
"[241, 240]",150,177,178,259.78
"[241, 242]",150,178,179,262.95
"[241, 242]",150,178,179,262.95
"[243, 244]",180,150,181,306.51
"[245, 246]",180,182,183,136.88
"[247, 248]",180,182,184,330.10
"[247, 248]",180,182,184,330.10
"[249, 250]",180,185,186,157.87
"[249, 250]",180,185,186,157.87
"[250, 251]",180,185,187,162.90
"[250, 251]",180,185,187,162.90
"[252, 249]",180,188,186,317.55
"[252, 249]",180,188,186,317.55
"[253, 254]",180,189,190,186.05
"[255, 253]",180,189,191,290.31
"[255, 253]",180,189,191,290.31
"[248, 256]",180,192,184,166.62
"[251, 245]",180,183,187,303.77
"[251, 245]",180,183,187,303.77
"[254, 243]",180,181,190,103.33
"[254, 243]",180,181,190,103.33
"[257, 258]",193,194,195,180.42
"[257, 258]",193,194,195,180.42
"[259, 260]",193,196,197,70.56
"[259, 260]",193,196,197,70.56
"[260, 261]",193,196,198,190.45
"[260, 261]",193,196,198,190.45
"[262, 263]",193,199,200,243.52
"[262, 263]",193,199,200,243.52
"[263, 264]",193,200,201,258.15
"[263, 264]",193,200,201,258.15
"[264, 265]",193,201,155,276.89
"[264, 265]",193,201,155,276.89
"[266, 267]",193,127,142,259.71
